Type,Composition,state,bulk_modulus,shear_modulus,e_modulus,density,thickness,c,c11,c12,c22,c66,
case,stainless steel,Solido,NaN,NaN,515,7.93,0.5,8.06,NaN,NaN,NaN,NaN,515.161348
separator,polymer,Solido,NaN,NaN,0.7,0.55,0.03,1.13,NaN,NaN,NaN,NaN,
positive_colector,aluminum,Solido,NaN,NaN,117,8.96,0.01,3.61,NaN,NaN,NaN,NaN,
negative_colector,copper,Solido,NaN,NaN,69,2.7,0.01,5.06,NaN,NaN,NaN,NaN,
cathode_0,LiCoO2,Solido,NaN,NaN,109,5.01,0.06,4.65,422,106,422,68.1,
cathode_01,LiCoO2,Solido,NaN,NaN,123,5,0.06,4.96,NaN,NaN,NaN,NaN,
cathode_02,LiCoO2,Solido,NaN,NaN,137,4.99,0.06,5.24,NaN,NaN,NaN,NaN,
cathode_03,LiCoO2,Solido,NaN,NaN,152,4.99,0.06,5.51,NaN,NaN,NaN,NaN,
cathode_04,LiCoO2,Solido,NaN,NaN,166,4.98,0.06,5.77,NaN,NaN,NaN,NaN,
cathode_05,LiCoO2,Solido,NaN,NaN,180,4.97,0.06,6.02,NaN,NaN,NaN,NaN,
cathode_06,LiCoO2,Solido,NaN,NaN,195,4.96,0.06,6.26,NaN,NaN,NaN,NaN,
cathode_07,LiCoO2,Solido,NaN,NaN,209,4.95,0.06,6.5,NaN,NaN,NaN,NaN,
cathode_08,LiCoO2,Solido,NaN,NaN,223,4.95,0.06,6.72,NaN,NaN,NaN,NaN,
cathode_09,LiCoO2,Solido,NaN,NaN,238,4.94,0.06,6.94,NaN,NaN,NaN,NaN,
cathode_10,CoO2,Solido,NaN,NaN,252,4.93,0.06,7.15,264,163,264,5.1,
anode_0,C,Solido,NaN,NaN,19.3,2.05,0.07,3.06,1105,204,1105,450,
anode_01,LiC,Solido,NaN,NaN,27.5,2.07,0.07,3.64,NaN,NaN,NaN,NaN,
anode_02,LiC,Solido,NaN,NaN,35.7,2.09,0.07,4.13,NaN,NaN,NaN,NaN,
anode_03,LiC,Solido,NaN,NaN,43.9,2.11,0.07,4.56,NaN,NaN,NaN,NaN,
anode_04,LiC,Solido,NaN,NaN,52.1,2.13,0.07,4.94,NaN,NaN,NaN,NaN,
anode_05,LiC,Solido,NaN,NaN,60.4,2.16,0.07,5.29,NaN,NaN,NaN,NaN,
anode_06,LiC,Solido,NaN,NaN,68.6,2.18,0.07,5.61,NaN,NaN,NaN,NaN,
anode_07,LiC,Solido,NaN,NaN,76.8,2.2,0.07,5.91,NaN,NaN,NaN,NaN,
anode_08,LiC,Solido,NaN,NaN,85,2.22,0.07,6.19,NaN,NaN,NaN,NaN,
anode_09,LiC,Solido,NaN,NaN,93.3,2.24,0.07,6.45,NaN,NaN,NaN,NaN,
anode_10,LiC,Solido,NaN,NaN,101,2.26,0.07,6.7,989,171,989,409,
cathodeMn_0,LiMn2O4,Solido,NaN,NaN,NaN,NaN,NaN,NaN,190,77.4,257,79,
cathodeMn_1,Mn2O4,Solido,NaN,NaN,NaN,NaN,NaN,NaN,190,76.9,190,96.1,
cathodeFe_0,LiFePO4,Solido,NaN,NaN,NaN,NaN,NaN,NaN,139,72.8,198,47.6,
cathodeFe_1,FePO4,Solido,NaN,NaN,NaN,NaN,NaN,NaN,176,29.6,154,55.6,
cathodeTi_0,Li2Ti2O4,Solido,NaN,NaN,NaN,NaN,NaN,NaN,204,69.3,204,104.3,
cathodeTi_1,LiTi2O4,Solido,NaN,NaN,NaN,NaN,NaN,NaN,203,86,203,82.8,
SS_Separator,,Solido,NaN,NaN,2,1.68,0.029,1.09108945117996,NaN,NaN,NaN,NaN,0.720000001
SS_Aluminium current,,Solido,NaN,NaN,20.742,2.7,0.05,2.77168220079832,NaN,NaN,NaN,NaN,69.14
SS_Copper current,,Solido,NaN,NaN,32.433,8.96,0.01,1.90256523259669,NaN,NaN,NaN,NaN,108.11
SS_cathodeNCM_0,,Solido,NaN,NaN,12.96,1.54,0.058,2.90096267049137,NaN,NaN,NaN,NaN,12.96
SS_cathodeNCM_0.1,,,,,12.86625,1.53,0.0581,,,,,,
SS_cathodeNCM_0.2,,,,,12.77,1.52,0.0582,2.89850233559914,NaN,NaN,NaN,NaN,
SS_cathodeNCM_0.3,,,,,12.67,1.51,0.0583,,,,,,
SS_cathodeNCM_0.4,,,,,12.57,1.5,0.0584,2.89482296522603,NaN,NaN,NaN,NaN,
SS_cathodeNCM_0.5,,,,,12.475,1.49,0.0585,,,,,,
SS_cathodeNCM_0.6,,,,,12.38,1.48,0.0586,2.8922076109548,NaN,NaN,NaN,NaN,
SS_cathodeNCM_0.7,,,,,12.28125,1.47,0.0587,,,,,,
SS_cathodeNCM_0.8,,,,,12.18,1.46,0.0588,2.88833269438004,NaN,NaN,NaN,NaN,
SS_cathodeNCM_0.9,,,,,12.07625,1.45,0.0589,,,,,,
SS_cathodeNCM_1.0,,,,,11.97,1.44,0.059,,,,,,
SS_anodeGraphite_0,,Solido,NaN,NaN,8.58,1.06,0.066,2.84505529342428,NaN,NaN,NaN,NaN,8.579999997
SS_anodeGraphite_0.1,,,,,9.75,1.05383333333333,0.06665,,,,,,
SS_anodeGraphite_0.2,,Solido,NaN,NaN,10.92,1.05,0.0673,3.22490309931942,NaN,NaN,NaN,NaN,8.579999997
SS_anodeGraphite_0.3,,,,,12.09,1.04916666666667,0.06795,,,,,,
SS_anodeGraphite_0.4,,,,,13.26,1.048,0.0686,3.55705942538569,NaN,NaN,NaN,NaN,
SS_anodeGraphite_0.5,,,,,14.43,1.045,0.06925,,,,,,
SS_anodeGraphite_0.6,,,,,15.6,1.042,0.0699,3.86926468635215,NaN,NaN,NaN,NaN,
SS_anodeGraphite_0.7,,,,,16.77,1.039,0.07055,,,,,,
SS_anodeGraphite_0.8,,,,,17.94,1.036,0.0712,4.16132218370584,NaN,NaN,NaN,NaN,
SS_anodeGraphite_0.9,,,,,19.11,1.033,0.07185,,,,,,
SS_anodeGraphite_1.0,,,,,20.28,1.03,0.0725,,,,,,
Test,MaterialTest1,Solido,NaN,NaN,109,5.01,10,4.664384957,422,106,422,68.1,
Test2,MaterialTest2,Solido,NaN,NaN,109,10,10,3.301514804,NaN,NaN,NaN,NaN,
Test_cathodeNCM_0,,Solido,NaN,NaN,12.96,1.54,0.58,2.90096267,NaN,NaN,NaN,NaN,12.96
Test_Separator,,Solido,NaN,NaN,0.72,1.68,0.29,0.654653670707977,,,,,0.720000001
